feature1,feature2,prediction
3,3,1.5090826817413987
4,0,-0.583898843176521
2,3,0.9112201839392793
4,1,0.8464659687798934
4,0,-1.472171697868222
1,4,-0.19231661490794966
2,2,0.4793795413635598
2,3,1.0613270751384294
2,2,-0.8447721972506942
4,2,-1.2232634998712901
3,0,0.5342881197050491
2,2,0.8864064218344351
4,4,-0.763476252827923
1,2,-1.6674394785502324
3,0,1.3554924514253763
1,4,-0.5883827648284623
3,1,-0.1581164695704605
4,2,0.9874005586421803
0,0,0.4073362439812657
3,1,0.6204513658421449
1,1,-1.2632523059643443
4,3,-0.07327776756600135
3,4,0.4792778369646513
0,2,-1.1935156923510628
0,0,-1.3853969663490044
2,3,1.5045902527830874
2,4,-0.1621100392136542
1,3,-1.0779497988289086
3,4,1.5550186763407523
3,4,1.4446254752442578
2,2,-0.012967544415655957
3,4,1.1482455705530727
3,3,-1.3361613773024734
0,4,-1.0133551549735964
2,2,0.49565164319210525
4,2,1.0194470782791016
2,3,1.0540431075248125
4,1,-0.5635501029975092
0,1,1.166625453357001
1,4,1.034724898346898
3,0,1.337991455634204
0,4,0.799907323294346
3,3,0.38334222198624396
1,3,0.06720452349259323
1,3,-0.6789234085926626
0,3,1.3540968097436898
1,3,1.4741423999477017
4,2,-0.9952764868446523
1,1,-0.9185066214049941
3,3,-0.27317556366630863
3,0,-0.4063218879926996
3,0,1.5485877842206957
3,0,-1.381923004603232
4,0,-1.9470575189162755
2,2,-0.2435316272430397
0,0,-1.3715495244160782
3,3,-0.6997386394514822
1,4,0.6525099417554764
3,0,0.5693397016585547
1,2,-0.9088510613855012
1,2,-0.06936726766780366
3,0,-0.1901137161657963
4,4,0.26642844144000116
1,0,-1.1150670300138603
1,2,0.10008590973129644
3,1,1.4928633541050147
1,3,-0.26913566578908654
1,2,1.2322458652154342
3,0,-0.45655132766377493
3,3,-0.7584195022456511
0,0,0.29782947752739447
4,0,0.38311239072531167
4,1,1.0821236111815018
1,3,-1.1876611794936316
4,3,-0.22455775621403834
1,1,0.03611969665088342
0,2,0.7398077698792888
3,0,-1.855660656868947
3,4,1.5489209155393773
3,0,-0.32927460916432005
4,0,-1.0108884343328053
0,2,1.15131623503977
4,0,0.6652133970922119
4,1,1.400418913762572
0,1,-0.8276180185073515
0,3,-0.0327606447157448
0,4,0.03715176139124777
0,0,1.4980142820415658
3,0,-1.7420161460790486
2,2,-0.9173138450372639
2,1,-1.3282708880938243
0,4,-1.0505767113778608
2,3,-0.2743709190939692
2,1,-0.6774766469926651
0,3,-0.598695731486555
2,2,1.0106827379698298
4,2,1.3178773091597304
1,0,-1.7596669908305298
1,4,-1.2637997300537864
0,3,0.3910584960545422
